classification,total_pnl,top5_pnl,top5_share
Extreme Greed,176965.491774,3292.254155999996,0.01860393302104619
Fear,6699925.190574,3645298.515712,0.5440804803075269
Greed,3189616.535376,1057417.778537,0.3315187787651562
Neutral,158742.378078,11153.533929999996,0.07026185486851892
