classification,lev_bucket,pnl_mean,pnl_median,pnl_sum,pnl_std,win_rate,vol_sum,vol_mean,pnl_sharpe
Extreme Greed,NoLeverageInfo,25.418772159436944,0.0,176965.491774,306.1669373872389,49.008905486929045,39406770.25,5660.265764148233,0.08302259014756831
Fear,NoLeverageInfo,50.047621894017375,0.0,6699925.190574,909.121795680177,41.51459240612231,704158492.98,5259.977836723413,0.055050513728551936
Greed,NoLeverageInfo,87.8948589207749,0.0,3189616.535376,1148.343967656218,44.647138251260714,115503671.85,3182.883844966794,0.07654053262470584
Neutral,NoLeverageInfo,22.229712656210616,0.0,158742.378078,633.7048150995175,31.71824674415348,21843234.35,3058.8481095084726,0.03507897072348999
